Year,Country,Male,Female,LifeExp,Population,GDP
2018,Liberia,62.35,65.11,63.73,4818977,3264000000.00
2018,Libya,69.90,75.79,72.72,6678567,48364208571.43
2018,Liechtenstein,81.60,86.00,83.75,37910,..
2018,Lithuania,71.90,80.90,76.29,2801543,53429066429.13
2018,Luxembourg,79.90,84.40,82.10,607950,70885325883.09
2018,Laos,,,67,,
2018,"Macao SAR, China",81.15,87.05,84.12,631636,55084050789.72
2018,Madagascar,65.08,68.30,66.68,26262368,13853432868.23
2018,Malawi,60.65,66.94,63.80,18143315,7064971176.34
2018,Malaysia,74.08,78.17,76.00,31528585,358581943446.26
2018,Maldives,77.23,80.50,78.63,515696,5327457149.73
2018,Mali,58.14,59.65,58.89,19077690,17163432832.10
2018,Malta,80.20,84.60,82.35,484630,14553422928.88
2018,Mauritania,63.08,66.29,64.70,4403319,5234817927.17
2018,Mauritius,71.27,77.72,74.42,1265303,14220348672.73
2018,Mexico,72.12,77.84,74.99,126190788,1220699479845.98
2018,"Micronesia, Fed. Sts.",66.12,69.45,67.76,112640,401932279.02
2018,Moldova,67.53,76.07,71.81,2706049,11443671435.90
2018,Mongolia,65.63,73.96,69.69,3170208,13066749138.33
2018,Montenegro,74.32,79.20,76.77,622227,5504166666.67
2018,Morocco,75.19,77.67,76.45,36029138,117921394402.36
2018,Mozambique,57.11,62.97,60.16,29495962,14717223206.90
2018,Myanmar,63.76,69.87,66.87,53708395,71214803377.83
2018,Namibia,60.36,66.18,63.37,2448255,14521711633.95
2018,Nepal,68.99,71.90,70.48,28087871,29040398982.35
2018,Netherlands,80.20,83.40,81.76,17231624,913658465709.13
2018,New Caledonia,75.10,79.30,77.15,284060,..
2018,New Zealand,80.20,83.60,81.86,4841000,204923917869.36
2018,Nicaragua,70.74,77.77,74.28,6465513,13117845416.63
2018,Niger,60.90,63.21,62.02,22442948,9290938457.29
2018,Nigeria,53.45,55.24,54.33,195874740,397269616080.91
2018,Macedonia,73.68,77.74,75.69,2082958,12672131053.16
2018,Norway,81.30,84.40,82.81,5311916,434166615431.91
2018,Oman,75.89,80.13,77.63,4829483,79276723016.91
2018,Pakistan,66.19,68.11,67.11,212215030,314588210501.06
2018,Panama,75.24,81.59,78.33,4176873,65055100000.00
2018,Papua New Guinea,63.04,65.58,64.26,8606316,23497607690.12
2018,Paraguay,72.16,76.25,74.13,6956071,40496953779.07
2018,Peru,73.83,79.28,76.52,31989256,222044970486.22
2018,Philippines,67.12,75.39,71.10,106651922,330910343610.96
2018,Poland,73.90,81.80,77.75,37974750,585663814824.04
2018,Portugal,78.70,84.90,81.72,10283822,240674524464.24
2018,Puerto Rico,76.35,83.38,79.78,3195153,101130900000.00
2018,Qatar,78.98,81.88,80.10,2781677,191362087912.09
